"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000132639",130.764898721533,-11.1382424693764,3.05585116644048,2.81701915382066e-13,8.06343562589626e-11
"ENSG00000131095",122.036299714164,-11.0236740374793,3.04328725675805,4.77722017745402e-13,1.21468671009399e-10
"ENSG00000152583",62.6006099031719,-9.91166449243189,2.92592028768209,6.68521892460946e-11,1.13903396725013e-08
"ENSG00000150625",51.2307791896115,-9.57100229395529,2.88798430395463,2.74344280339299e-10,3.77539936559235e-08
"ENSG00000067715",48.8753209414772,-9.48903741065734,2.87788823900806,3.83161688520238e-10,5.00086727895191e-08
"ENSG00000185664",41.5438186279047,8.90580440704739,2.7507756457318,2.94422565685465e-09,3.29201231257061e-07
"ENSG00000103034",33.5493401126924,-8.84443884467981,2.81044166711544,4.8659425617548e-09,5.19711715998766e-07
"ENSG00000104435",30.905829428876,-8.70137336845466,2.79488614967799,8.35211500764957e-09,8.18867118562171e-07
"ENSG00000139970",30.8989924960009,-8.7011272285922,2.79483411294285,8.35345160075999e-09,8.18867118562171e-07
"ENSG00000070808",28.2440869240593,-8.54199042129352,2.7785869362428,1.56237363705002e-08,1.41037248614732e-06
"ENSG00000170421",32.0602717296395,8.45840081001273,2.70617763499792,1.57671602699532e-08,1.41037248614732e-06
"ENSG00000168309",26.6775797213449,-8.44309686166617,2.76725750336424,2.18277212918252e-08,1.88191775378676e-06
"ENSG00000084674",31.3830730668895,8.41711515656523,2.70041638648764,1.8088525862866e-08,1.57855476920328e-06
"ENSG00000148053",23.49214883054,-8.21609339572338,2.7448232283982,5.15207272799093e-08,3.92215238739394e-06
"ENSG00000018625",23.2337231039835,-8.19862201759381,2.74334672478229,5.40167352598892e-08,4.0470295079918e-06
"ENSG00000163631",27.5435188114838,8.19243829876075,2.68057316342768,4.17758344671855e-08,3.24943338529543e-06
"ENSG00000109846",22.463003879564,-8.13639862484332,2.7371259614871,6.84631017945457e-08,5.05074181898731e-06
"ENSG00000135472",21.9347575383257,-8.09407815809393,2.73322673066708,7.98284869112993e-08,5.77707825770834e-06
"ENSG00000136531",21.3928373313372,-8.050432453086,2.72689309700822,9.0425353670592e-08,6.47083830866756e-06
"ENSG00000104833",20.6198391292926,-7.98128745023651,2.7243187232831,1.23896658098134e-07,8.52504312836778e-06
"ENSG00000171885",19.787587508997,-7.90783364475601,2.71992722540767,1.65576727819633e-07,1.08388070307499e-05
"ENSG00000102003",19.5382776929407,-7.88880640654679,2.71335560021213,1.62590515436235e-07,1.07731271153861e-05
"ENSG00000154146",19.0054733964523,-7.83839065109408,2.70994853532601,1.97740958342486e-07,1.19918160838884e-05
"ENSG00000131747",21.4489822667129,7.74912369157867,2.63896252823279,1.97662036933456e-07,1.19918160838884e-05
"ENSG00000120251",17.962654579726,-7.73594113568543,2.69813399540237,2.74500574942288e-07,1.54671347581655e-05
"ENSG00000145192",20.7712807640056,7.6908931372543,2.63303529846585,2.40466387900912e-07,1.38772376759591e-05
"ENSG00000104888",17.4321292608627,-7.68085620143013,2.69247002403404,3.30807577163284e-07,1.84942111107848e-05
"ENSG00000104722",17.4503610818631,-7.67697285274575,2.69682452220676,3.64267639725363e-07,2.00515325374977e-05
"ENSG00000211677",20.5461345230392,7.67178318675639,2.63223469782703,2.58607944465941e-07,1.48047876047862e-05
"ENSG00000129244",16.9038829196245,-7.6245756107996,2.68737843606357,4.01286564817829e-07,2.17545958926999e-05
"ENSG00000081051",19.6405211595997,7.58726624689464,2.6262439189659,3.57658934686636e-07,1.98403669505238e-05
"ENSG00000022355",16.3779155560112,-7.56649952394057,2.68242977699054,4.90225279021483e-07,2.6179493258789e-05
"ENSG00000145864",16.3619627126359,-7.56209567873129,2.68474227622127,5.20825560915211e-07,2.74046155434504e-05
"ENSG00000165023",16.1194898294547,-7.53596621427918,2.68076788409707,5.52821411697469e-07,2.8875839577424e-05
"ENSG00000058404",15.8451112595229,-7.50570468188101,2.67701249568925,6.01957023905302e-07,3.12145250946836e-05
"ENSG00000065609",15.8268794385226,-7.49623435054428,2.68314537121499,6.95436036622138e-07,3.50460582962536e-05
"ENSG00000116983",15.3214228735347,-7.44352461583132,2.67188567783518,7.43123527428746e-07,3.64427724088615e-05
"ENSG00000108387",15.3168649182846,-7.44317203416533,2.67181304458832,7.43522187212657e-07,3.64427724088615e-05
"ENSG00000168314",15.3168649182846,-7.44317203416533,2.67181304458832,7.43522187212657e-07,3.64427724088615e-05
"ENSG00000184144",14.5324718281149,-7.3443692419262,2.66410219796956,1.04362645875168e-06,4.78730188386348e-05
"ENSG00000175161",14.5233559176147,-7.34410566287792,2.66357855294243,1.03660003655789e-06,4.78574829781178e-05
"ENSG00000107295",14.2672091686832,-7.31028290276818,2.66109721145523,1.16424234301854e-06,5.1773983611763e-05
"ENSG00000176884",14.2512563253079,-7.30621665035349,2.66286202593057,1.2182080895202e-06,5.34312981811955e-05
"ENSG00000107742",13.9996675316265,-7.27547777387445,2.65784477991505,1.29734625725417e-06,5.6106698537606e-05
"ENSG00000171368",14.0110624197517,-7.27136271678791,2.66016125833465,1.38037775030825e-06,5.90125897334016e-05
"ENSG00000089199",13.9859936658763,-7.26917593952252,2.6597316400947,1.38542692498763e-06,5.90125897334016e-05
"ENSG00000111057",16.2575448855945,7.24142200249593,2.59813081686859,1.13875496961728e-06,5.12511356137188e-05
"ENSG00000157152",13.7344048721949,-7.23962366401698,2.65490603887318,1.45845350676605e-06,6.17555816237745e-05
"ENSG00000117016",13.7275679393197,-7.23775856508275,2.65572315498382,1.48851804731419e-06,6.2657853803414e-05
"ENSG00000197249",16.0301358648197,7.2197358085224,2.59359678301514,1.16484228081244e-06,5.1773983611763e-05
"ENSG00000253230",13.4691422127632,-7.20292946245571,2.65201686071062,1.64475388652371e-06,6.72563360683636e-05
"ENSG00000100867",15.3529372020698,7.13992603727923,2.58753536470624,1.51116500239443e-06,6.32391623224242e-05
"ENSG00000132465",15.1280423810822,7.11024026294594,2.58629761925016,1.69629606265884e-06,6.85801956180039e-05
"ENSG00000136541",12.6665173015931,-7.08282716235773,2.6461308274929,2.5392977184578e-06,9.7365652467421e-05
"ENSG00000164061",12.4149285079117,-7.04822062977609,2.64024270596826,2.71160950471065e-06,0.000102127776924786
"ENSG00000141837",12.1405499379799,-7.00307745531786,2.63921938387475,3.22597278968339e-06,0.000117183052197839
"ENSG00000197971",152.442837789026,-6.94777489233624,0.64874014967113,3.28938397677378e-26,2.35388317377931e-23
"ENSG00000113327",11.6259774624919,-6.92126547689866,2.63183350046295,4.08885684383464e-06,0.00014273102231454
"ENSG00000110076",11.3584358254352,-6.87727016271819,2.62817346636527,4.65413940114563e-06,0.000160120295935568
"ENSG00000086570",11.0840572555034,-6.8267067405571,2.62759532641711,5.63200286873567e-06,0.000186586169114224
"ENSG00000132872",10.8301894841969,-6.78463848542358,2.62206227360775,6.20226750099131e-06,0.00020133675587552
"ENSG00000155886",10.832468461822,-6.78440519348036,2.62246789200939,6.23702795775229e-06,0.00020133675587552
"ENSG00000185518",10.8256315289469,-6.78361450669822,2.6223235872114,6.24605363392473e-06,0.00020133675587552
"ENSG00000048540",10.5672058023903,-6.7383600196261,2.62217828296128,7.20868527048478e-06,0.000228535043992263
"ENSG00000211679",12.1920901292863,6.70461171566838,2.55622050436476,5.92588071607406e-06,0.000194521111945991
"ENSG00000162706",10.2973851877086,-6.68648262122112,2.61783770187098,8.43431589448233e-06,0.000263563163934129
"ENSG00000100505",10.2951062100835,-6.68506053115899,2.61857282403618,8.54982054603525e-06,0.000266010938380123
"ENSG00000130294",32.9723642824461,-6.64804399567075,1.29804156199832,1.21849844239982e-06,5.34312981811955e-05
"ENSG00000128656",32.9680577471747,-6.64760468894244,1.29838426137915,1.22452947201175e-06,5.34312981811955e-05
"ENSG00000179915",10.0412384387771,-6.63502633116285,2.61458702276051,9.89115881521368e-06,0.000303781684470683
"ENSG00000089169",10.0457963940272,-6.63214688700358,2.6175175093223,1.02932112547309e-05,0.000312111100588365
"ENSG00000213760",10.0457963940272,-6.63214688700358,2.6175175093223,1.02932112547309e-05,0.000312111100588365
"ENSG00000183715",9.77369680172041,-6.58246415258343,2.61031101478009,1.14548335899111e-05,0.000338722269295058
"ENSG00000157103",9.78053373459553,-6.57960379008058,2.61335824847285,1.19295804320446e-05,0.000347024705576061
"ENSG00000088325",11.0638447246676,6.50576294638809,2.53998290799857,1.06955217832816e-05,0.000321584680172954
"ENSG00000185686",10.837189963829,6.47617319283872,2.54220073600297,1.17316488550752e-05,0.000344064259044747
"ENSG00000260230",9.25228739335727,-6.467577291877,2.60750853575193,1.66170574863105e-05,0.000462691297167463
"ENSG00000169862",9.25456637098231,-6.46486840880413,2.60976017578496,1.71324993355279e-05,0.000475194438934254
"ENSG00000021645",8.98246677867553,-6.41240450856977,2.60147001303598,1.88901270168344e-05,0.000519914418971026
"ENSG00000125814",28.5155669774626,-6.41212354116178,1.30812674496316,2.91330312699444e-06,0.000108018638221618
"ENSG00000104112",8.97562984580041,-6.4102292019014,2.60214397090004,1.91509033575605e-05,0.000523068184834743
"ENSG00000008056",8.97562984580041,-6.4102292019014,2.60214397090004,1.91509033575605e-05,0.000523068184834743
"ENSG00000101445",8.98702473392562,-6.4098915899966,2.6038296865444,1.94727952860809e-05,0.000527830769193919
"ENSG00000073464",8.97335086817537,-6.40789936576396,2.60350046824116,1.95469450526557e-05,0.000527841278478505
"ENSG00000148773",10.3853889620241,6.38988597903213,2.53752064418578,1.50259169651565e-05,0.00043010184721064
"ENSG00000105711",8.71492514161884,-6.3516437808581,2.59834421629449,2.24198307711371e-05,0.00058983937131712
"ENSG00000198932",8.71948309686892,-6.3514828953529,2.59905996156924,2.25748340212141e-05,0.000591741803134828
"ENSG00000170091",8.72632002974405,-6.34499230231867,2.6050099780729,2.42730344125934e-05,0.000631628488205521
"ENSG00000277586",27.1821653274505,-6.33260758387825,1.30135605971999,3.56927588015889e-06,0.000128574862208426
"ENSG00000123560",174.761564060266,-6.3305810637394,0.49757592421892,9.45931781734511e-37,1.35381756601843e-33
"ENSG00000132718",26.6450544956908,-6.30888550670976,1.30350013364453,3.88237360654981e-06,0.000138148403826496
"ENSG00000117724",9.93434222015529,6.30032973463508,2.53069671492864,1.93810191785826e-05,0.000527340582668963
"ENSG00000186487",8.45422043743727,-6.28912668832009,2.5959950625902,2.68302775528099e-05,0.000688162961175297
"ENSG00000079841",8.45649941506231,-6.28543007657522,2.59202140345318,2.7158124294357e-05,0.000693493332304168
"ENSG00000146352",8.44738350456215,-6.28402080771764,2.59171910281787,2.72319209582827e-05,0.000693493332304168
"ENSG00000184613",8.45877839268735,-6.27787295543692,2.59035799756104,2.77297098386989e-05,0.000701580477262283
"ENSG00000074590",8.4451045269371,-6.2759077695491,2.59011622180933,2.78436075380783e-05,0.000701580477262283
"ENSG00000154027",8.18895777800562,-6.22286500930429,2.59339640542141,3.20852992222635e-05,0.000794471976590027
"ENSG00000145863",8.18439982275553,-6.21793581871037,2.59038303113883,3.24176755827019e-05,0.000797185176872216
"ENSG00000078328",8.19807368850578,-6.21371899805434,2.5998046427864,3.50128225626728e-05,0.000858053966638653
"ENSG00000109339",8.20035266613082,-6.20940779023725,2.60358260572039,3.66492263215726e-05,0.000893677792766285
"ENSG00000158874",9.48329547828651,6.2055113197416,2.52829670566918,2.58061857355184e-05,0.000666675325355124
"ENSG00000049323",9.48153553843551,6.20447856366241,2.52997685907846,2.63162550713324e-05,0.000677406911116744
"ENSG00000211666",9.25538361755433,6.1527419632258,2.53317806190114,3.14377154074752e-05,0.000781139900888517
"ENSG00000166448",7.92369511857396,-6.15256032440243,2.58775602216587,3.86280462514038e-05,0.000928105399023191
"ENSG00000113578",7.92597409619901,-6.15246416586762,2.58821838040142,3.8779138388476e-05,0.000928105399023191
"ENSG00000144834",7.92597409619901,-6.15246416586762,2.58821838040142,3.8779138388476e-05,0.000928105399023191
"ENSG00000286214",7.92825307382405,-6.1513877172671,2.58950045605122,3.92953447129971e-05,0.00093421091948906
"ENSG00000186472",7.92825307382405,-6.1513877172671,2.58950045605122,3.92953447129971e-05,0.00093421091948906
"ENSG00000144406",7.91685818569884,-6.14691853242298,2.59128597563466,4.0376742186971e-05,0.000953584049801862
"ENSG00000242808",7.93736898432421,-6.13692542319916,2.60427837093541,4.56976665503535e-05,0.00105487903817526
"ENSG00000196220",7.66071143676735,-6.08251604327947,2.58547248978902,4.68113075388429e-05,0.00107104852256081
"ENSG00000168993",7.65843245914231,-6.08212040562418,2.58542050912226,4.68471475072013e-05,0.00107104852256081
"ENSG00000058335",7.65615348151727,-6.08066837162443,2.5862976456464,4.73403059161528e-05,0.00107545152106663
"ENSG00000059915",7.65615348151727,-6.08066837162443,2.5862976456464,4.73403059161528e-05,0.00107545152106663
"ENSG00000105649",7.64931654864215,-6.06897466168957,2.59418290025665,5.18691539431976e-05,0.00117090115336758
"ENSG00000172461",7.3954487773357,-6.00956981016243,2.58414598191777,5.69384519748828e-05,0.00126931950882324
"ENSG00000163630",7.40000673258578,-6.00785681088267,2.58580510065642,5.80143712986294e-05,0.00128529672140245
"ENSG00000159784",7.38861184446058,-6.00225092041071,2.58775223566779,5.97639511566754e-05,0.00130387449535722
"ENSG00000091583",8.35404439375292,5.95005223075562,2.51795699555861,5.13936787154222e-05,0.00116383912939102
"ENSG00000155980",49.5114980069764,-5.93868204593368,0.839420578102736,2.33538090380861e-12,5.222495546142e-10
"ENSG00000149970",7.13246509552909,-5.93233958956402,2.58229469946082,6.97787265185032e-05,0.0014742086800908
"ENSG00000171385",7.13018611790405,-5.9319055772168,2.58223356535848,6.98374430618754e-05,0.0014742086800908
"ENSG00000155511",7.13702305077917,-5.93088469664231,2.58644723266362,7.19278014433169e-05,0.00150942917046444
"ENSG00000100285",7.127907140279,-5.93040004396105,2.58321382718855,7.06433105450497e-05,0.00148683391253052
"ENSG00000189058",7.12334918502892,-5.92306010021437,2.58846856577426,7.46848922446175e-05,0.00155814894723756
"ENSG00000078018",34.7966776728136,-5.91742171489283,0.997914847457873,5.21850600616666e-09,5.41212014204763e-07
"ENSG00000116675",20.8409302549663,-5.90909671061662,1.31571886425767,1.44497562153752e-05,0.000415270905531024
"ENSG00000171848",8.12814389285046,5.89433940214589,2.51643257495312,5.94710796793928e-05,0.00130145274062916
"ENSG00000211772",8.12789247287174,5.89433924583746,2.51586789412561,5.92784415198917e-05,0.00130145274062916
"ENSG00000146678",8.1271382129356,5.89135329237679,2.51912556017936,6.10977255124947e-05,0.00132562013018308
"ENSG00000168280",33.9986107168936,-5.88184013532525,0.998394520288933,6.42033553511003e-09,6.47097480130245e-07
"ENSG00000155970",6.86948141372248,-5.85203389540373,2.58153218534647,8.62988925092875e-05,0.00176444249941846
"ENSG00000171766",6.87176039134752,-5.85014841922363,2.58322836967407,8.76797838384629e-05,0.0017837789597823
"ENSG00000100307",6.86264448084735,-5.84830168883159,2.58298388658976,8.7992450084286e-05,0.0017837789597823
